Liste aller offiziellen und inoffiziellen Ports:

0 	– 	UDP 	reserviert 	offiziell
69 	– 	UDP 	Trivial File Transfer Protocol (TFTP) 	offiziell
70 	TCP 	– 	Gopher-Protokoll 	offiziell
71 	TCP 	– 	Genius-Protokoll 	offiziell
79 	TCP 	– 	Finger 	offiziell
80 	TCP 	– 	Hypertext Transfer Protocol (HTTP) 	offiziell
81 	TCP 	– 	Torpark – Onion-Routing 	inoffiziell
82 	– 	UDP 	Torpark – Control 	inoffiziell
83 	TCP 	– 	MIT ML Device 	offiziell
88 	TCP 	UDP 	Kerberos-Authentifizierungssystem 	offiziell
90 	TCP 	UDP 	dnsix (DoD Network Security for Information Exchange) Securit Attribute Token Map 	offiziell
90 	TCP 	UDP 	Pointcast 	inoffiziell
99 	TCP 	– 	WIP Message 	inoffiziell 
101 	TCP 	– 	NIC host name 	offiziell
102 	TCP 	– 	ISO-TSAP (Transport Service Access Point) Class 0 protocol[8] 	offiziell
104 	TCP 	UDP 	ACR/NEMA Digital Imaging and Communications in Medicine 	offiziell
105 	TCP 	UDP 	CCSO Nameserver Protocol (Qi/Ph) 	offiziell
107 	TCP 	– 	Remote Telnet Service[9] protocol 	offiziell
108 	TCP 	UDP 	SNA Gateway Access Server 	offiziell
109 	TCP 	– 	Post Office Protocol v2 (POP2) 	offiziell
110 	TCP 	– 	Post Office Protocol v3 (POP3) 	offiziell
111 	TCP 	UDP 	ONC RPC (SunRPC), v. a. wichtig für NFS (Portmapper) 	offiziell
113 	TCP 	– 	ident, ein Authentifizierungsprotokoll,[10] genutzt von IRC-Servern, um Nutzer zu identifizieren 	offiziell
113 	– 	UDP 	Authentication Service[10] (auth) 	offiziell
115 	TCP 	– 	Simple File Transfer Protocol (SFTP) 	offiziell
117 	TCP 	– 	UUCP Path Service 	offiziell
118 	TCP 	UDP 	SQL-(Structured Query Language)-Dienste 	offiziell
119 	TCP 	– 	Network News Transfer Protocol (NNTP) 	offiziell
123 	– 	UDP 	Network Time Protocol (NTP) zur (hoch)genauen Zeitsynchronisierung zwischen mehreren Computern 	offiziell
135 	TCP 	UDP 	DCE Endpunkt-Auflösung 	offiziell
135 	TCP 	UDP 	Microsoft EPMAP (End Point Mapper), auch bekannt als DCE/RPC Locator Service.[11] 	inoffiziell
137 	TCP 	UDP 	NetBIOS NetBIOS Name Service 	offiziell
138 	TCP 	UDP 	NetBIOS NetBIOS Datagram Service 	offiziell
139 	TCP 	UDP 	NetBIOS NetBIOS Session Service 	offiziell
143 	TCP 	UDP 	Internet Message Access Protocol (IMAP) – Mail-Management 	offiziell
148 	TCP 	UDP 	jargon – Jargon-Server 	unbekannt
152 	TCP 	UDP 	Background File Transfer Program (BFTP)[12] 	offiziell
153 	TCP 	UDP 	SGMP, Simple Gateway Monitoring Protocol 	offiziell
156 	TCP 	UDP 	SQL Service 	offiziell
158 	TCP 	UDP 	DMSP, Distributed Mail Service Protocol 	inoffiziell
161 	– 	UDP 	Simple Network Management Protocol (SNMP) 	offiziell
162 	TCP 	UDP 	Simple Network Management Protocol Trap (SNMPTRAP)[13] 	offiziell
170 	TCP 	– 	Print-srv, Network PostScript 	offiziell
177 	TCP 	UDP 	X Display Manager Control Protocol (XDMCP) 	offiziell
179 	TCP 	– 	BGP (Border Gateway Protocol) 	offiziell
194 	TCP 	UDP 	Internet Relay Chat (IRC) 	offiziell
199 	TCP 	UDP 	SMUX, SNMP Unix Multiplexer 	offiziell
201 	TCP 	UDP 	AppleTalk Routing Maintenance 	offiziell
209 	TCP 	UDP 	Quick Mail Transfer Protocol 	offiziell
210 	TCP 	UDP 	ANSI Z39.50 	offiziell
213 	TCP 	UDP 	Internetwork Packet Exchange (IPX) 	offiziell
218 	TCP 	UDP 	Message posting protocol (MPP) 	offiziell
220 	TCP 	UDP 	Internet Message Access Protocol (IMAP), version 3 	offiziell
256 	TCP 	UDP 	2DEV "2SP" Port 	inoffiziell
259 	TCP 	UDP 	ESRO, Efficient Short Remote Operations 	offiziell
264 	TCP 	UDP 	BGMP, Border Gateway Multicast Protocol 	offiziell 
308 	TCP 	– 	Novastor Online Backup 	offiziell
311 	TCP 	– 	Mac OS X Server Admin (offiziell AppleShare IP Web Administration) 	offiziell
318 	TCP 	UDP 	PKIX TSP, Time Stamp Protocol 	offiziell
319 	– 	UDP 	Precision Time Protocol/Events 	offiziell
320 	– 	UDP 	Precision Time Protocol/General Messages 	offiziell
323 	TCP 	UDP 	IMMP, Internet Message Mapping Protocol 	inoffiziell
325 	TCP 	– 	IT-Message Message Event 	inoffiziell
327 	TCP 	– 	IT-Message Status-Control Event 	inoffiziell
330 	TCP 	– 	IT-Message Gif Event 	inoffiziell
350 	TCP 	UDP 	MATIP-Type A, Mapping of Airline Traffic over Internet Protocol. Airline-spezifischer Datenverkehr (Buchungen, Reservierungen, …) über IP 	offiziell
351 	TCP 	UDP 	MATIP-Type B, Mapping of Airline Traffic over Internet Protocol 	offiziell
366 	TCP 	UDP 	ODMR, On-Demand Mail Relay 	offiziell
369 	TCP 	UDP 	Rpc2portmap 	offiziell
370 	TCP 	UDP 	codaauth2 – Coda authentication server 	offiziell
371 	TCP 	UDP 	ClearCase albd 	offiziell
376 	TCP 	UDP 	Amiga Envoy Network Inquiry Protocol 	offiziell
383 	TCP 	UDP 	HP data alarm manager 	offiziell
384 	TCP 	UDP 	Ein Remote Network Server System 	offiziell
387 	TCP 	UDP 	AURP, das AppleTalk Update-based Routing Protocol[14] 	offiziell
389 	TCP 	UDP 	Lightweight Directory Access Protocol (LDAP) 	offiziell
401 	TCP 	UDP 	UPS – Uninterruptible Power Supply 	offiziell
402 	TCP 	– 	Altiris, Altiris Deployment Client 	inoffiziell
411 	TCP 	– 	Direct Connect Hub 	inoffiziell
412 	TCP 	– 	Direct Connect Client-to-Client 	inoffiziell
427 	TCP 	UDP 	Service Location Protocol (SLP) 	offiziell
443 	TCP 	– 	HTTPS (Hypertext Transfer Protocol over SSL/TLS) 	offiziell
444 	TCP 	UDP 	SNPP, Simple Network Paging Protocol (RFC 1568) 	offiziell
445 	TCP 	– 	Microsoft-DS Active Directory, Windows-Freigaben (CIFS) 	offiziell
445 	TCP 	– 	Microsoft-DS SMB-Freigaben (auch bekannt unter dem Namen der freien Implementierung Samba) 	offiziell
464 	TCP 	UDP 	Kerberos Change/Set password 	offiziell
465 	TCP 	– 	URD (URL Rendezvous Directory for SSM) 	offiziell
465 	TCP 	– 	Message Submission over TLS protocol 	offiziell
465 	– 	UDP 	IGMP v3lite (IGMP over UDP for SSM) 	offiziell
475 	TCP 	UDP 	tcpnethaspsrv (Aladdin Knowledge Systems Hasp services, TCP/IP version) 	offiziell
497 	TCP 	– 	Dantz Retrospect 	offiziell
500 	– 	UDP 	Internet Security Association and Key Management Protocol (ISAKMP) 	offiziell
501 	TCP 	– 	STMF, Simple Transportation Management Framework – DOT NTCIP 1101 	inoffiziell
502 	TCP 	UDP 	asa-appl-proto, Protocol 	inoffiziell
502 	TCP 	UDP 	Modbus, Protocol 	inoffiziell
504 	TCP 	UDP 	Citadel: Multidienst-Protokoll für das Citadel-Groupware-Protokoll 	offiziell
510 	TCP 	– 	First Class Protocol 	inoffiziell
512 	TCP 	– 	Rexec, Remote Process Execution 	offiziell
512 	– 	UDP 	comsat und biff 	offiziell
513 	TCP 	– 	rlogin 	offiziell
513 	– 	UDP 	Who 	offiziell
514 	TCP 	– 	rsh wird genutzt, um nicht-interaktiv Kommandos auf entfernten Systemen auszuführen. (via Remote Shell, rsh, remsh) 	offiziell
514 	– 	UDP 	Syslog für System-Logs 	offiziell
515 	TCP 	– 	Line Printer Daemon-Druckservices 	offiziell
517 	– 	UDP 	Talk 	offiziell
518 	– 	UDP 	NTalk 	offiziell
520 	TCP 	– 	efs, extended file name server 	offiziell
520 	– 	UDP 	Routing Information Protocol (RIP) 	offiziell
521 	– 	UDP 	Routing Information Protocol (RIPng) für die Unterstützung von IPv6 	offiziell
524 	TCP 	UDP 	NetWare Core Protocol (NCP) wird für viele Dinge genutzt, wie z. B. um primäre NetWare-Server-Freigaben zu nutzen, für Zeit-Synchronisation, … 	offiziell
525 	– 	UDP 	Timed, ein Zeitserver 	offiziell
530 	TCP 	UDP 	Courier (RPC) 	offiziell
531 	TCP 	UDP 	AOL Instant Messenger, IRC 	inoffiziell
532 	TCP 	– 	netnews 	offiziell
533 	– 	UDP 	netwall 	offiziell
540 	TCP 	– 	UUCP (Unix-to-Unix Copy Protocol) 	offiziell
543 	TCP 	– 	klogin, Kerberos login 	offiziell
544 	TCP 	– 	kshell, Kerberos Remote shell 	offiziell
545 	TCP 	– 	OSIsoft PI (VMS), OSISoft PI Server Client Access 	inoffiziell
546 	TCP 	UDP 	DHCPv6-Client 	offiziell
547 	TCP 	UDP 	DHCPv6-Server 	offiziell
548 	TCP 	– 	Apple Filing Protocol (AFP) over TCP 	offiziell
550 	– 	UDP 	new-rwho, new-who 	offiziell
554 	TCP 	UDP 	Real-Time Streaming Protocol (RTSP) 	offiziell
556 	TCP 	– 	Remotefs, RFS, rfs_server 	offiziell
560 	– 	UDP 	rmonitor, Remote Monitor 	offiziell
561 	– 	UDP 	monitor 	offiziell
563 	TCP 	UDP 	NNTP protocol over TLS/SSL (NNTPS) 	offiziell
587 	TCP 	– 	e-mail message submission[15] (SMTP) 	offiziell
591 	TCP 	– 	FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80) 	offiziell
593 	TCP 	UDP 	HTTP RPC Ep Map, Remote Procedure Call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server 	offiziell 
601 	TCP 	UDP 	Reliable Event Logging Protocol; gesicherte Übertragung von Loginformationen für rsyslog[16] 	offiziell
604 	TCP 	– 	TUNNEL profile,[17] ein Protokoll für BEEP peers um einen Tunnel auf Anwendungsebene zu bilden. 	offiziell
623 	– 	UDP 	ASF Remote Management and Control Protocol (ASF-RMCP) 	offiziell
628 	TCP 	– 	MSA (Minecraft Server Administrator) Port 	inoffiziell
631 	TCP 	UDP 	Internet Printing Protocol (IPP) 	offiziell
631 	TCP 	UDP 	Common Unix Printing System (CUPS) 	inoffiziell
635 	TCP 	UDP 	RLZ DBase 	offiziell
636 	TCP 	UDP 	Lightweight Directory Access Protocol over TLS/SSL (LDAPS) 	offiziell
639 	TCP 	UDP 	MSDP, Multicast Source Discovery Protocol 	offiziell
641 	TCP 	UDP 	SupportSoft Nexus Remote Command (control/listening): A proxy gateway connecting remote control traffic 	offiziell
646 	TCP 	UDP 	LDP, Label Distribution Protocol, a routing protocol used in MPLS networks 	offiziell
647 	TCP 	– 	DHCP Failover protocol[18] 	offiziell
648 	TCP 	– 	RRP (Registry Registrar Protocol)[19] 	offiziell
651 	TCP 	UDP 	IEEE-MMS 	offiziell
652 	TCP 	– 	DTCP, Dynamic Tunnel Configuration Protocol 	inoffiziell
653 	TCP 	UDP 	SupportSoft Nexus Remote Command (data): A proxy gateway connecting remote control traffic 	offiziell
654 	TCP 	– 	Media Management System (MMS) Media Management Protocol (MMP)[20] 	offiziell
655 	TCP 	UDP 	tinc-VPN (Virtual Private Network)[21] 	inoffiziell
657 	TCP 	UDP 	IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM)[22] and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration 	offiziell
660 	TCP 	– 	Mac OS X Server-Administration 	offiziell
665 	TCP 	– 	sun-dr, Remote Dynamic Reconfiguration 	inoffiziell
666 	– 	UDP 	Doom, erster online First Person Shooter 	offiziell
674 	TCP 	– 	ACAP (Application Configuration Access Protocol) 	offiziell
691 	TCP 	– 	MS Exchange Routing 	offiziell
692 	TCP 	– 	Hyperwave-ISP 	offiziell
694 	TCP 	UDP 	Linux-HA High availability Heartbeat 	offiziell
695 	TCP 	– 	IEEE-MMS-SSL (IEEE Media Management System over SSL)[23] 	offiziell
698 	– 	UDP 	OLSR (Optimized Link State Routing) 	offiziell
699 	TCP 	– 	Access Network 	offiziell
700 	TCP 	– 	EPP (Extensible Provisioning Protocol), a protocol for communication between domain name registries and registrars (RFC 5734) 	offiziell
701 	TCP 	– 	LMP (Link Management Protocol (Internet)),[24] a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links 	offiziell
702 	TCP 	– 	IRIS[25][26] (Internet Registry Information Service) über BEEP (Blocks Extensible Exchange Protocol)[27] (RFC 3983) 	offiziell
706 	TCP 	– 	Secure Internet Live Conferencing (SILC) 	offiziell
711 	TCP 	– 	Cisco Tag Distribution Protocol[28][29][30] being replaced by the MPLS Label Distribution Protocol[31] 	offiziell
712 	– 	UDP 	Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF) (RFC 3684) 	offiziell
712 	– 	UDP 	Promise RAID Controller 	inoffiziell
720 	TCP 	– 	SMQP, Simple Message Queue Protocol 	inoffiziell
749 	TCP 	UDP 	Kerberos administration 	offiziell
750 	TCP 	– 	rfile 	offiziell
750 	– 	UDP 	loadav 	offiziell
750 	– 	UDP 	kerberos-iv, Kerberos version IV 	offiziell
751 	TCP 	UDP 	pump 	offiziell
751 	TCP 	UDP 	kerberos_master, Kerberos authentication 	inoffiziell
752 	TCP 	UDP 	qrh 	offiziell
752 	– 	UDP 	passwd_server, Kerberos Password (kpasswd) server 	inoffiziell
753 	TCP 	– 	Reverse Routing Header (rrh)[32] 	offiziell
753 	– 	UDP 	Reverse Routing Header (rrh) 	offiziell
753 	– 	UDP 	userreg_server, Kerberos userreg Server 	inoffiziell
754 	TCP 	– 	tell send 	offiziell
754 	TCP 	– 	krb5_prop, Kerberos v5 slave propagation 	inoffiziell
754 	– 	UDP 	tell send 	offiziell
760 	TCP 	UDP 	ns 	offiziell
760 	TCP 	UDP 	krbupdate [kreg], Kerberos registration 	inoffiziell
782 	TCP 	– 	Conserver serial-console management server 	inoffiziell
783 	TCP 	– 	SpamAssassin spamd daemon 	inoffiziell
829 	TCP 	– 	CMP (Certificate Management Protocol) 	inoffiziell
843 	TCP 	– 	Adobe Flash socket policy server 	inoffiziell
847 	TCP 	– 	DHCP Failover protocol 	offiziell
853 	TCP 	– 	DNS over TLS (RFC 7858) (RFC 8310) 	offiziell
860 	TCP 	– 	iSCSI (RFC 3720) 	offiziell
873 	TCP 	– 	rsync Datei-Synchronisationsprotokoll 	offiziell (nur USA)
888 	TCP 	– 	cddbp, CD DataBase (CDDB) protocol (CDDBP) 	inoffiziell
901 	TCP 	– 	Samba Web Administration Tool (SWAT) 	inoffiziell
901 	TCP 	UDP 	VMware Virtual Infrastructure Client (UDP from server being managed to management console) 	inoffiziell
901 	– 	UDP 	VMware Virtual Infrastructure Client (UDP from server being managed to management console) 	inoffiziell
902 	TCP 	– 	ideafarm-door 902/tcp self documenting Door: send 0x00 for info 	offiziell
902 	TCP 	– 	VMware Server Console 	inoffiziell
902 	– 	UDP 	ideafarm-door 	offiziell
902 	– 	UDP 	VMware Server Console (UDP from server being managed to management console) 	inoffiziell
903 	TCP 	– 	VMware Remote Console[33] 	inoffiziell
904 	TCP 	– 	VMware Server Alternate (if 902 is in use, i. e. SUSE linux) 	inoffiziell
911 	TCP 	– 	Network Console on Acid (NCA) – local tty redirection over OpenSSH 	inoffiziell
953 	TCP 	UDP 	Domain Name System (DNS) RNDC Service 	inoffiziell
981 	TCP 	– 	SofaWare Technologies Remote-HTTPS-Management für eingebettete Firewalls mit Check Point FireWall-1 	inoffiziell
987 	TCP 	– 	externer SSL Zugriff auf die "CompanyWeb"-Seite am Windows SBS2011 	inoffiziell
989 	TCP 	UDP 	FTPS Protocol (data): FTP over TLS/SSL 	offiziell
990 	TCP 	UDP 	FTPS Protocol (control): FTP over TLS/SSL 	offiziell
991 	TCP 	UDP 	NAS (Netnews Administration System) 	offiziell
992 	TCP 	UDP 	TELNET protocol over TLS/SSL 	offiziell
993 	TCP 	– 	Internet Message Access Protocol over TLS/SSL (IMAPS) 	offiziell
995 	TCP 	– 	Post Office Protocol 3 over TLS/SSL (POP3S) 	offiziell
999 	TCP 	– 	ScimoreDB Database System 	inoffiziell
1001 	TCP 	– 	JtoMB 	inoffiziell
1002 	TCP 	– 	Opsware agent (aka cogbot) 	inoffiziell
1023 	TCP 	UDP 	reserviert[34] 	offiziell 
1024 	TCP 	UDP 	reserviert 	offiziell
1025 	TCP 	– 	NFS, IIS oder Teradata 	inoffiziell
1026 	TCP 	– 	DCOM 	inoffiziell
1029 	TCP 	– 	DCOM 	inoffiziell
1058 	TCP 	UDP 	nim, IBM AIX Network Installation Manager (NIM) 	offiziell
1059 	TCP 	UDP 	nimreg, IBM AIX Network Installation Manager (NIM) 	offiziell
1061 	TCP 	UDP 	PROmobile 	inoffiziell
1080 	TCP 	– 	SOCKS proxy 	offiziell
1085 	TCP 	UDP 	WebObjects 	offiziell
1098 	TCP 	UDP 	rmiactivation, RMI Aktivierung 	offiziell
1099 	TCP 	UDP 	rmiregistry, RMI Registry 	offiziell
1100 	TCP 	– 	FastTransmitter Protokoll 	inoffiziell
1109 	– 	UDP 	reserviert 	offiziell
1109 	TCP 	– 	reserviert 	offiziell
1109 	TCP 	– 	Kerberos Post Office Protocol (KPOP) 	inoffiziell
1110 	– 	UDP 	EasyBits School network discovery protocol (für Intels CMPC Plattform) 	inoffiziell
1140 	TCP 	UDP 	AutoNOC Protokoll 	offiziell
1167 	– 	UDP 	Telefon, Telefonkonferenzen 	inoffiziell
1169 	TCP 	UDP 	Tripwire 	offiziell
1176 	TCP 	– 	Perceptive Automation Indigo Home automation Server 	offiziell
1182 	TCP 	UDP 	AcceleNet Intelligent Transfer Protocol 	offiziell
1194 	TCP 	UDP 	OpenVPN 	offiziell
1198 	TCP 	UDP 	The cajo project – dynamisches, transparentes, verteiltes Rechnen, geschrieben in Java 	offiziell
1200 	TCP 	– 	scol[35] 	offiziell
1200 	– 	UDP 	scol 	offiziell
1200 	– 	UDP 	Steam Friends Applet 	inoffiziell
1214 	TCP 	– 	Kazaa 	offiziell
1217 	TCP 	– 	Uvora Online 	inoffiziell
1220 	TCP 	– 	QuickTime Streaming Server Administration 	offiziell
1223 	TCP 	UDP 	TGP, TrulyGlobal 	offiziell
1234 	– 	UDP 	VLC media player – Voreingestellter Port für UDP/RTP-Streaming 	inoffiziell
1236 	TCP 	– 	Symantec BindView Control UNIX Voreingestellter Port für TCP-Server-Management 	inoffiziell
1241 	TCP 	UDP 	Nessus Security Scanner 	offiziell
1270 	TCP 	UDP 	Microsoft System Center Operations Manager (SCOM) 	offiziell
1293 	TCP 	UDP 	IPsec (Internet Protocol Security) 	offiziell
1301 	TCP 	– 	Palmer Performance OBDNet 	inoffiziell
1303 	TCP 	– 	Hyperion 	inoffiziell
1309 	TCP 	– 	Altera Quartus jtagd 	inoffiziell
1311 	TCP 	– 	Dell OpenManage HTTPS 	offiziell
1313 	TCP 	– 	Xbiim (Canvii server) 	inoffiziell
1319 	TCP 	– 	AMX ICSP 	offiziell
1337 	– 	UDP 	Men and Mice DNS 	offiziell
1337 	TCP 	– 	Men and Mice DNS 	offiziell
1337 	TCP 	– 	PowerFolder Ein P2P-Programm mit Verschlüsselung 	inoffiziell
1337 	TCP 	– 	WASTE 	inoffiziell
1352 	TCP 	– 	IBM Lotus Notes/Domino[36] (RPC) Protokoll 	offiziell
1387 	TCP 	UDP 	cadsi-lm, LMS International (auch Computer Aided Design Software, Inc. (CADSI)) LM 	offiziell
1414 	TCP 	– 	IBM WebSphere MQ (früher bekannt als MQSeries) 	offiziell
1417 	TCP 	UDP 	Timbuktu Service 1 Port 	offiziell
1418 	TCP 	UDP 	Timbuktu Service 2 Port 	offiziell
1419 	TCP 	UDP 	Timbuktu Service 3 Port 	offiziell
1420 	TCP 	UDP 	Timbuktu Service 4 Port 	offiziell
1431 	TCP 	– 	Reverse Gossip Transport Protocol (RGTP) 	offiziell
1433 	TCP 	– 	MSSQL (Microsoft SQL Server) 	offiziell
1434 	TCP 	UDP 	MSSQL (Microsoft SQL Server) Monitor 	offiziell
1470 	TCP 	– 	Solarwinds Kiwi Log Server 	offiziell
1494 	TCP 	– 	Citrix XenApp Independent Computing Architecture (ICA) thin Client Protokoll 	offiziell
1500 	TCP 	– 	NetGuard GuardianPro Firewall (NT4-based) Remote Management 	inoffiziell
1501 	– 	UDP 	NetGuard GuardianPro Firewall (NT4-based) Authentication Client 	inoffiziell
1503 	TCP 	UDP 	Windows Live Messenger 	inoffiziell
1512 	TCP 	UDP 	Microsoft Windows Internet Name Service (WINS) 	offiziell
1513 	TCP 	UDP 	Garena Garena Gaming Client 	offiziell
1521 	TCP 	– 	nCube License Manager 	offiziell
1521 	TCP 	– 	Oracle Datenbank, zukünftig jedoch 2483 	inoffiziell
1524 	TCP 	UDP 	ingreslock, ingres 	offiziell
1526 	TCP 	– 	Oracle Datenbank 	inoffiziell
1533 	TCP 	– 	IBM Sametime IM – Virtual Places Chat Microsoft SQL Server 	offiziell
1547 	TCP 	UDP 	Laplink 	offiziell
1550 	– 	– 	Gadu-Gadu (client-to-client) 	inoffiziell
1581 	– 	UDP 	MIL STD 2045-47001 VMF 	offiziell
1589 	– 	UDP 	Cisco VQP (VLAN Query Protocol) / VMPS 	inoffiziell
1627 	– 	– 	iSketch 	inoffiziell
1645 	TCP 	UDP 	radius auth, RADIUS Authentikationsprotokoll (Voreinstellung für Cisco und Juniper Networks RADIUS Server) 	inoffiziell
1646 	TCP 	UDP 	radius acct, RADIUS Authentikationsprotokoll (Voreinstellung für Cisco und Juniper Networks RADIUS Server) 	inoffiziell
1666 	TCP 	– 	Perforce 	inoffiziell
1677 	TCP 	UDP 	Novell GroupWise 	offiziell
1701 	– 	UDP 	Layer 2 Forwarding Protocol (L2F) & Layer 2 Tunneling Protocol (L2TP) 	offiziell
1707 	– 	UDP 	Romtoc Packet Protocol (L2F) & Layer 2 Tunneling Protocol (L2TP) 	inoffiziell
1714–1764 	TCP 	UDP 	KDE Connect 	inoffiziell
1716 	TCP 	– 	America’s Army Massively Multiplayer Online Game (MMOG) 	inoffiziell
1719 	– 	UDP 	H.323 	offiziell
1720 	TCP 	– 	H.323 	offiziell
1723 	TCP 	UDP 	Microsoft Point-to-Point Tunneling Protocol (PPTP) 	offiziell
1725 	– 	UDP 	Valve Steam Client 	inoffiziell
1755 	TCP 	UDP 	Microsoft Media Services (MMS, ms-streaming) 	offiziell
1761 	– 	UDP 	cft-0 	offiziell
1761 	TCP 	– 	cft-0 	offiziell
1761 	TCP 	– 	Novell Zenworks Fernwartungswerkzeug 	inoffiziell
1762–1768 	TCP 	UDP 	cft-1 bis cft-7 	offiziell
1801 	TCP 	UDP 	Microsoft Message Queuing 	offiziell
1812 	TCP 	UDP 	radius, RADIUS/Authentikation 	offiziell
1813 	TCP 	UDP 	radacct, RADIUS/Zugang 	offiziell
1863 	TCP 	– 	MSNP (Microsoft Notification Protocol), genutzt vom .NET Messenger Service und einigen Instant-Messaging-Protokollen 	offiziell
1883 	TCP 	UDP 	MQTT (Message Queue Telemetry Transport), auch bekannt als MQIsdp (MQSeries SCADA protocol) 	offiziell
1886 	TCP 	– 	Leonardo over IP Pro2col Ltd 	inoffiziell
1900 	– 	UDP 	Microsoft SSDP – Ermöglicht das Auffinden von UPnP-Geräten 	offiziell
1920 	TCP 	– 	IBM Tivoli Monitoring Console (https) 	inoffiziell
1935 	TCP 	– 	Adobe Inc. Macromedia Flash Real Time Messaging Protocol (RTMP) "plain" protocol 	offiziell
1947 	TCP 	UDP 	SentinelSRM (hasplm), Aladdin HASP License Manager 	offiziell
1967 	– 	UDP 	Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol 	inoffiziell
